Straßenname;von Haus-Nr.;Haus-Nr.-Zusatz;bis Haus-Nr.;Haus-Nr-Zusatz;Stadtbezirk;"Kommunal-
wahlbezirk"
Aachener Str.;1; ;33; ;3;12
Aachener Str.;2; ;56; ;3;12
